Program Name,Primary Category,Secondary Tags,Track/Session,Format,Grades,Admission Type,Length,Dates 2026,Location,Credit,Price,URL
AlphaStar Academy Summer Camps,Mathematics,Artificial Intelligence,"Math/CS/AI/Physics",Residential/Online,Grades 4-12,"Rolling, diagnostic placement",3 weeks/camp period,"Camp 1: Jun 8-26; Camp 2: Jun 29-Jul 17; Camp 3: Jul 20-Aug 7","In-person (CA) & online live",No,$1150 (5-day online) to $3550 (15-day in-person),https://alphastar.academy/
Iowa Young Writers' Studio,Writing/Humanities,,,Residential,Current 10-12,Highly competitive (deadline Feb 1),2 weeks,"Session 1: Jun 14-27; Session 2: Jul 12-25","Iowa City, IA",No,$2500 (+ $10 reading fee),https://iyws.program.uiowa.edu/
Stanford Summer Humanities Institute,Writing/Humanities,,,Residential,Rising 11-12,Highly selective (deadline Feb 2),3 weeks,"Session 1: Jun 21-Jul 10; Session 2: Jul 12-31","Stanford, CA",No,$8250-$8575,https://summerhumanities.stanford.edu/
Kenyon Review Young Writers,Writing/Humanities,,,Residential,Ages 16-18,Highly selective (deadline Mar 1),2 weeks,"Session I: Jun 21-Jul 4; Session II: Jul 12-25","Gambier, OH",No,$2575,https://kenyonreview.org/
Princeton Summer Journalism Program,Writing/Humanities,Leadership/Gifted,,Residential/Online,HS Juniors,Highly competitive (socioeconomic criteria),10 days,Late Jun (virtual) & Early Aug (residential),"Princeton, NJ",No,Free,https://psjp.princeton.edu/
Telluride Association Summer Seminar (TASS),Writing/Humanities,Leadership/Gifted,,Residential,Rising Jr/Sr,Highly selective (deadline Jan 21),6 weeks,Jul 18-29,Rotating university campuses,No,Free,https://www.tellurideassociation.org/
Summer Linguistic Institute for Youth Scholars (SLIYS),Writing/Humanities,STEM/Engineering,,Online,Entering 9-12,"Competitive (teacher rec, 3.0+ GPA)",1-2 weeks,Multiple June/July sessions,Online,No,$550/week (plus $25 deposit),https://linguistics.osu.edu/undergrad/sliys
Camp Laurel Maine,Traditional Camp,,,Residential,Grades 1-9 (ages 7-15),First-come (inquire early),7 weeks,Jun 27 - Aug 12,"Belgrade Lakes, ME",No,$17800,https://www.camplaurel.com/
Interlochen Arts Camp,Traditional Camp,Arts,,Residential,Grades 3-12,Competitive audition,1-6 weeks,Jun 28 - Aug 9,"Traverse City, MI",Some (online certs),$2050-$10350,https://www.interlochen.org/
EXPLO,Traditional Camp,STEM/Engineering,,Residential,Grades 4-12,First-come,2 or 4 weeks,Multiple sessions Jun - Aug,"Wheaton College, MA",No,Starts at ~$4045,https://explo.org/
Camp Becket & Chimney Corners,Traditional Camp,,,Residential,Ages 7-15,First-come,2 or 4 weeks,Late Jun - Aug,"Berkshires, MA",No,Starts at $2945,https://bccymca.org/
Adirondack Camp,Traditional Camp,Outdoor/Wilderness,,Residential,Ages 7-17,First-come,2-10 weeks,Multiple sessions Jun - Aug,"Lake George, NY",No,Starts at $4850,https://www.adirondackcamp.com/
NOLS Teen Expeditions,Outdoor/Wilderness,Leadership/Gifted,,Residential (Expedition/Overnight),Ages 12-17,First-come,1-4 weeks,Jul 9 - Aug 7 (WY),"Wind River Range WY; Alaska; Idaho",Yes (0.5-1.5 HS credits or college credit),$5350-$8490,https://www.nols.edu/teen-expeditions/
Outward Bound High School,Outdoor/Wilderness,Leadership/Gifted,,Residential (Expedition/Overnight),Ages 12-18,First-come,7-30 days,Multiple cohorts Jun - Aug,"CO Rockies, MN Boundary Waters, CA Sierra",Yes (college credit via WCU or HS credit),$2900-$7540,https://www.outwardbound.org/
Overland Summers,Outdoor/Wilderness,Cultural Exchange,,Residential (Expedition/Overnight),Grades 6-12 (ages 13-17),Collaborative application,2-3 weeks,Multiple sessions Jun - Aug,"US Rockies, Pacific NW, European Alps",No,$5695-$8695,https://overlandsummers.com/
Lasting Adventures,Outdoor/Wilderness,,,Residential (Expedition/Overnight),Ages 11-18,First-come,4-20 days,Multiple dates Jun - Aug,"Yosemite, Olympic, Joshua Tree NP",No,$1675-$2085,https://lastingadventures.com/
Apogee Adventures,Outdoor/Wilderness,"Writing/Humanities, Cultural Exchange",,Residential (Expedition/Overnight),Grades 7-12,Selective application,11-30 days,Summer cohorts,"New England, California, Europe, Caribbean",No,$4000-$8000,https://www.apogeeadventures.com/
Bold Earth Adventure Camp,Outdoor/Wilderness,Cultural Exchange,,Residential (Expedition/Overnight),Grades 7-12 (ages 13-18),Rolling application,10-21 days,"Session I: Jun 30-Jul 17; Session II: Jul 20-Aug 6","West US, Hawaii, Costa Rica, Alps",No,$4488-$5388,https://boldearth.com/
Moondance Adventures,Outdoor/Wilderness,Leadership/Gifted,,Residential (Expedition/Overnight),Grades 6-12,Application,14-21 days,Multiple sessions Jun - Jul,"Rockies, Chamonix, Pacific NW, Fiji",No,$5695-$10895,https://moondanceadventures.com/
Wilderness Adventures,Outdoor/Wilderness,,,Residential (Expedition/Overnight),Grades 5-12,First-come,14-35 days,Jun 13-Jul 3; Jul 6-26,"Alaska, Grand Teton, European Alps",No,$4995-$8995,https://www.wildernessadventures.com/
Yale Young Global Scholars (YYGS),Cultural Exchange,Leadership/Gifted,,Residential,Sophomores & Juniors,Highly competitive (apps close Jan),2 weeks,"Session I: Jun 21-Jul 3; Session II: Jul 5-17; Session III: Jul 19-31","New Haven, CT",No,$7000,https://globalscholars.yale.edu/
AMIGOS de las Americas,Cultural Exchange,Outdoor/Wilderness,,Residential (Homestay),Ages 13-19,Application (priority Dec 10),2-6 weeks,Early Jun - Mid Aug,"Panama, Costa Rica, Paraguay",Yes (via WCU partner),$4575-$6475 (+ airfare),https://amigosinternational.org/
CIEE High School Abroad,Cultural Exchange,,,Residential (Homestay),Ages 14-18,Application,3-4 weeks,Jun & Jul cohorts,Global (40+ cities),No (HS credits available),$5000-$7500,https://www.ciee.org/
AFS Intercultural Programs,Cultural Exchange,,,Residential (Homestay),Ages 15-18,Application,4-8 weeks,Summer cycles,Global (40+ countries),No,$6000-$9000,https://afs.org/
YES Abroad,Cultural Exchange,Leadership/Gifted,,Residential (Homestay),High school,Highly competitive,Academic year/summer,Aug - Jun,"Global (SE Asia, Africa)",No,Fully funded ($0),https://yes-abroad.org/
Rotary Youth Exchange,Cultural Exchange,,,Residential (Homestay),Ages 15-19,Highly selective application,1 week to full year,Year-round,Global,No,Free (sponsored),https://www.rotary.org/en/our-programs/youth-exchanges
Putney Student Travel,Cultural Exchange,STEM/Engineering (tracks vary),,Residential (Travel),Grades 9-12,Application,2-3 weeks,Late Jun - Late Jul,Global & US college sites,Yes (1 world language credit),$6500-$9000,https://precollege.goputney.com/
ARCC Programs,Cultural Exchange,Outdoor/Wilderness,,Residential (Travel),Grades 9-12,Application,2-3 weeks,Mid-Jun - Early Aug,"Global (Costa Rica, Fiji, Peru, etc.)",No,$5000-$8000,https://arccprograms.com/summer-overview/summer-programs-high-school/
That's Mandarin Chinese Summer Camp,Cultural Exchange,,"Day/Half-Day/Full/Homestay",Day/Homestay (varies),Ages 10-17 (homestay 14-17),First-come/rolling,1-4 weeks,Multiple start dates Jun - Aug,"Shanghai, Beijing, other China cities",No,From ~3700 RMB/wk to $4545+,https://www.thatsmandarin.com/chinese-summer-camp/
GoEast Mandarin Summer Camp,Cultural Exchange,,"Academic Chinese Booster / Chinese Adventure",Day,Kids & teens,Rolling,2-4 weeks,"Starts Jun 15, 29, Jul 13, 27, Aug 3, 10","Shanghai, China",No,"6800-12800 RMB (Academic); 10800 RMB (Adventure)",https://goeastmandarin.com/kids-chinese-camp/
Keats School Mandarin Immersion Camp,Cultural Exchange,,,Residential,Ages 12-17,Rolling,1-3 weeks,Summer 2026,"Kunming, Beijing, or Chengdu, China",No,From $1492/week (~$213/day),https://keatschinese.com/chinese-language-courses/summer-camp-in-china/
China Internship Placements Mandarin Camp,Cultural Exchange,,,Varies,Teens,Rolling,~2 weeks,Summer 2026,China (various cities),No,~$193/day,https://www.chinainternshipplacements.com/study-abroad-china/chinese-summer-camp-teens/
LTL School,Cultural Exchange,,,Varies,Teens,Rolling,Varies,Summer 2026,China,No,Varies,https://ltl-school.com/
Vanderbilt Summer Academy (VSA),Leadership/Gifted,,,Residential,Grades 7-12,Application (academic eligibility),1-2 weeks,Jun - Jul cohorts,"Nashville, TN",No,$1800-$3500,https://pty.vanderbilt.edu/for-students/vsa/
Northwestern CTD Summer Camp,Leadership/Gifted,,,Residential,Grades 6-12,Selective application,1 or 3 weeks,Jun 28 - Aug 7,"Evanston, IL",Yes (some HS credit),"1-Wk Res $1830; 3-Wk Res $5430",https://www.ctd.northwestern.edu/
Wharton Global Youth Program,Leadership/Gifted,,On-campus,Residential,Grades 9-11,Selective,1-2 weeks,Summer 2026 sessions,"Philadelphia, PA (Wharton/UPenn)",No,$8299-$11899,https://globalyouth.wharton.upenn.edu/
Wharton Global Youth Program,Leadership/Gifted,,Online,Online,Grades 9-12,Selective,Varies,Summer 2026 sessions,Online,No,$2000-$4800,https://globalyouth.wharton.upenn.edu/
Johns Hopkins Center for Talented Youth (CTY),Leadership/Gifted,,"Residential/Day",Residential/Day/Online,Grades 2-12 (residential 5-12),Selective (talent-search scores),3 weeks/session,"Session 1: ~Jun 22-Jul 11; Session 2: ~Jul 13-Aug 1 (varies by site)",Multiple university campuses incl. JHU + online,No,"Roughly $800-2000+ (day/online); residential higher",https://cty.jhu.edu/
Iacocca Global Entrepreneurship Intensive (IGEI),Leadership/Gifted,Cultural Exchange,,Residential,Ages 15-17,Selective (priority Feb 15),3 weeks,Jul 5-25,"Bethlehem, PA",No,$7000 all-inclusive,https://global.lehigh.edu/iacocca-institute/high-school
Iacocca Global Future Leaders Lab: Silicon Valley,Leadership/Gifted,,,Residential,Ages 15-17,Rolling/selective,3 days,Jun 21-24,"San Francisco & Silicon Valley, CA",No,"$1950, incl. housing & meals",https://global.lehigh.edu/programs/iacocca-global-future-leaders-lab-silicon-valley
Summer Springboard,Leadership/Gifted,College-Credit Pre-College,,Residential/Commuter,Middle & high school,First-come,1-2 weeks,Multiple sessions Jun - Aug,"UC Berkeley, Yale, Georgetown, Columbia/Barnard, UCLA, UCSB, UCSD, MIT, Duke, Cal Poly, Georgia Tech, U Michigan, U Washington, Oxford",No,"Commuter $3298; Residential $5698-$6298",https://summerspringboard.com/
Envision by WorldStrides (NYLF tracks),Leadership/Gifted,,"Medicine/Law/Engineering/Business/National Security",Residential,High school,Rolling,~1 week+,Summer 2026,Various college campuses,Yes (credits via George Mason University),Contact program,https://www.envisionexperience.com/
Cornell Summer College,Leadership/Gifted,College-Credit Pre-College,3-week session,Residential/Commuter,Rising Jr/Sr (some soph.),Selective,3 weeks,Summer 2026,"Ithaca, NY",Yes (Cornell credit),"Commuter ~$5987-7927; Residential ~$9274-11214",https://sce.cornell.edu/precollege/
Cornell Summer College,Leadership/Gifted,College-Credit Pre-College,6-week session,Residential/Commuter,Rising Jr/Sr (some soph.),Selective,6 weeks,Summer 2026,"Ithaca, NY",Yes (Cornell credit),"Commuter ~$11807-15687; Residential ~$18402-22282",https://sce.cornell.edu/precollege/
Berkeley Changemaker Pre-College,Leadership/Gifted,College-Credit Pre-College,,Residential,Ages 16-17,"Selective, residential",2 weeks,Summer 2026,"Berkeley, CA",No,Contact program (run via Summer Discovery),https://changemaker.berkeley.edu/pre-college
